kode_lokasi,id_pasar,kode_induk,nama_lokasi,tipe_lokasi,tahun_mulai_dibangun,tahun_selesai_dibangun,luas_tanah,luas_bangunan,keterangan,sheet_sumber,baris_sumber
PR-TI,1,,Pasar Raya Timur I,Pasar,2011,,28342,55583,,Table 1,7
PR-TI-BLOK-I,1,PR-TI,Blok I,Blok,,,,7857,,Table 1,8
PR-TI-BLOK-I-L1,1,PR-TI-BLOK-I,Lantai 1,Lantai,,,,2780.79,,Table 1,9
PR-TI-BLOK-I-L2,1,PR-TI-BLOK-I,Lantai 2,Lantai,,,,2538.07,,Table 1,10
PR-TI-BLOK-I-L3,1,PR-TI-BLOK-I,Lantai 3,Lantai,,,,2538.07,Tidak Aktif,Table 1,11
PR-TI-BLOK-I-L4,1,PR-TI-BLOK-I,Lantai 4,Lantai,,,,2538.07,Masjid,Table 1,12
PR-TI-BLOK-II,1,PR-TI,Blok II,Blok,2012,2015,13275,22703,,Table 1,13
PR-TI-BLOK-II-BASEMENT,1,PR-TI-BLOK-II,Basement,Lantai,,,,4540.69,Sebagian Besar Tidak Aktif,Table 1,14
PR-TI-BLOK-II-L1,1,PR-TI-BLOK-II,Lantai 1,Lantai,,,,4540.69,,Table 1,15
PR-TI-BLOK-II-L2,1,PR-TI-BLOK-II,Lantai 2,Lantai,,,,4540.69,Sebagian Besar Tidak Aktif,Table 1,16
PR-TI-BLOK-II-L3,1,PR-TI-BLOK-II,Lantai 3,Lantai,,,,4540.69,UKM : 7 Sanggar Tari : 1,Table 1,17
PR-TI-BLOK-II-L4,1,PR-TI-BLOK-II,Lantai 4,Lantai,,,,4540.69,"Inkubasi, Posko ME",Table 1,18
PR-TI-BLOK-II-L5,1,PR-TI-BLOK-II,Lantai 5,Lantai,,,,,HellyPad,Table 1,19
PR-TI-BLOK-III,1,PR-TI,Blok III,Blok,2016,2017,13275,17176,,Table 1,20
PR-TI-BLOK-III-BASEMENT,1,PR-TI-BLOK-III,Basement,Lantai,,,,2862.59,- Ruang Panel - Ruang Kontrol,Table 1,21
PR-TI-BLOK-III-L1,1,PR-TI-BLOK-III,Lantai 1,Lantai,,,,2862.59,,Table 1,22
PR-TI-BLOK-III-L2,1,PR-TI-BLOK-III,Lantai 2,Lantai,,,,2862.59,Sebagian Besar Tidak Aktif,Table 1,23
PR-TI-BLOK-III-L3,1,PR-TI-BLOK-III,Lantai 3,Lantai,,,,2862.59,- Kantor Lurah - Kantor Bapenda - Stand UKM-UKM - BPR,Table 1,24
PR-TI-BLOK-III-L4,1,PR-TI-BLOK-III,Lantai 4,Lantai,,,,2862.59,Ex. MPP,Table 1,25
PR-TI-BLOK-III-L5,1,PR-TI-BLOK-III,Lantai 5,Lantai,,,,2862.59,HellyPad,Table 1,26
PR-TI-BLOK-IV,1,PR-TI,Blok IV,Blok,2014,2016,1792,6391.48,,Table 1,27
PR-TI-BLOK-IV-L1,1,PR-TI-BLOK-IV,Lantai 1,Lantai,,,,1597.87,,Table 1,28
PR-TI-BLOK-IV-L2,1,PR-TI-BLOK-IV,Lantai 2,Lantai,,,,1597.87,,Table 1,29
PR-TI-BLOK-IV-L3,1,PR-TI-BLOK-IV,Lantai 3,Lantai,,,,1597.87,Tidak Aktif,Table 1,30
PR-TI-BLOK-IV-L4,1,PR-TI-BLOK-IV,Lantai 4,Lantai,,,,1597.87,Kantor,Table 1,31
PR-TI-BLOK-BAGONJONG,1,PR-TI,Blok Bagonjong,Blok,2018,,,1455.11,,Table 1,32
PR-TI-BLOK-BAGONJONG-LANTAI-1,1,PR-TI-BLOK-BAGONJONG,Lantai 1,Lantai,,,,1438.61,Pos Damkar (10-02- 2021),Table 2,4
PR-TI-BLOK-BAGONJONG-LANTAI-2,1,PR-TI-BLOK-BAGONJONG,Lantai 2,Lantai,,,,16.5,Ruang Pengelola,Table 2,5
PR-TII,1,,Pasar Raya Timur II,Pasar,,,34720,47904,,Table 2,6
PR-TII-FI,1,PR-TII,Fase I,Fase,1962,,,4773.93,,Table 2,7
PR-TII-FI-LANTAI-1,1,PR-TII-FI,Lantai 1,Lantai,,,,2507.42,,Table 2,8
PR-TII-FI-LANTAI-2,1,PR-TII-FI,Lantai 2,Lantai,,,,2266.51,,Table 2,9
PR-TII-FII,1,PR-TII,Fase II,Fase,1964,,,4734.45,,Table 2,10
PR-TII-FII-LANTAI-1,1,PR-TII-FII,Lantai 1,Lantai,,,,2187.31,,Table 2,11
PR-TII-FII-LANTAI-2,1,PR-TII-FII,Lantai 2,Lantai,,,,2547.14,,Table 2,12
PR-TII-FIII,1,PR-TII,Fase III,Fase,1971,,,5021.65,,Table 2,13
