kode_lokasi,nama_fasilitas,jumlah
PR-TI,Toko,7
PR-TI,Kios,816
PR-TI,Los/Meja Batu,2332
PR-TI,Counter,83
PR-TI,PKL,7
PR-TI,Musholla / Mesjid,2
PR-TI,Pos Kesehatan / Klinik,1
PR-TI,TPA / Ruangan Ibu Menyusui,1
PR-TI,Cool Storage,4
PR-TI,Kantor,4
PR-TI,Pos Keamanan,2
PR-TI,Pos Pemadam Kebakaran,1
PR-TI,Toilet Umum,24
PR-TI-BLOK-I,Kios,369
PR-TI-BLOK-I,Los/Meja Batu,326
PR-TI-BLOK-I,Counter,68
PR-TI-BLOK-I,Toilet Umum,4
PR-TI-BLOK-I-L1,Kios,239
PR-TI-BLOK-I-L1,Toilet Umum,2
PR-TI-BLOK-I-L2,Los/Meja Batu,326
PR-TI-BLOK-I-L2,Counter,68
PR-TI-BLOK-I-L2,Toilet Umum,1
PR-TI-BLOK-I-L3,Kios,130
PR-TI-BLOK-I-L3,Toilet Umum,1
PR-TI-BLOK-I-L4,PKL,1
PR-TI-BLOK-II,Kios,297
PR-TI-BLOK-II,Los/Meja Batu,669
PR-TI-BLOK-II,Counter,6
PR-TI-BLOK-II,PKL,7
PR-TI-BLOK-II,TPA / Ruangan Ibu Menyusui,1
PR-TI-BLOK-II,Cool Storage,1
PR-TI-BLOK-II,Pos Keamanan,2
PR-TI-BLOK-II,Toilet Umum,5
PR-TI-BLOK-II-BASEMENT,Kios,172
PR-TI-BLOK-II-BASEMENT,Counter,6
PR-TI-BLOK-II-BASEMENT,PKL,7
PR-TI-BLOK-II-BASEMENT,Toilet Umum,1
PR-TI-BLOK-II-L1,Kios,125
PR-TI-BLOK-II-L1,Los/Meja Batu,233
PR-TI-BLOK-II-L1,Toilet Umum,1
PR-TI-BLOK-II-L2,Los/Meja Batu,436
PR-TI-BLOK-II-L2,Toilet Umum,1
PR-TI-BLOK-II-L3,TPA / Ruangan Ibu Menyusui,1
PR-TI-BLOK-II-L3,Cool Storage,1
PR-TI-BLOK-II-L3,Pos Keamanan,1
PR-TI-BLOK-II-L3,Toilet Umum,1
PR-TI-BLOK-II-L3,Ruang Lainnya,1
PR-TI-BLOK-II-L4,Pos Keamanan,1
PR-TI-BLOK-II-L4,Toilet Umum,1
PR-TI-BLOK-III,Kios,115
PR-TI-BLOK-III,Los/Meja Batu,768
PR-TI-BLOK-III,Counter,9
PR-TI-BLOK-III,Musholla / Mesjid,1
PR-TI-BLOK-III,Kantor,3
PR-TI-BLOK-III,Toilet Umum,8
PR-TI-BLOK-III-BASEMENT,Kios,25
PR-TI-BLOK-III-BASEMENT,Los/Meja Batu,275
PR-TI-BLOK-III-BASEMENT,Counter,9
PR-TI-BLOK-III-BASEMENT,Ruang Lainnya,2
PR-TI-BLOK-III-L1,Kios,76
PR-TI-BLOK-III-L1,Los/Meja Batu,180
PR-TI-BLOK-III-L1,Toilet Umum,2
PR-TI-BLOK-III-L2,Kios,14
PR-TI-BLOK-III-L2,Los/Meja Batu,313
PR-TI-BLOK-III-L2,Toilet Umum,2
PR-TI-BLOK-III-L3,Musholla / Mesjid,1
PR-TI-BLOK-III-L3,Kantor,2
PR-TI-BLOK-III-L3,Toilet Umum,2
PR-TI-BLOK-III-L3,Ruang Lainnya,23
PR-TI-BLOK-III-L4,Kantor,1
PR-TI-BLOK-III-L4,Toilet Umum,2
PR-TI-BLOK-IV,Toko,7
PR-TI-BLOK-IV,Los/Meja Batu,402
PR-TI-BLOK-IV,Cool Storage,3
PR-TI-BLOK-IV,Kantor,1
PR-TI-BLOK-IV,Toilet Umum,6
PR-TI-BLOK-IV-L1,Toko,7
PR-TI-BLOK-IV-L1,Los/Meja Batu,104
PR-TI-BLOK-IV-L1,Cool Storage,2
PR-TI-BLOK-IV-L1,Toilet Umum,3
PR-TI-BLOK-IV-L2,Los/Meja Batu,168
PR-TI-BLOK-IV-L2,Cool Storage,1
PR-TI-BLOK-IV-L2,Toilet Umum,1
PR-TI-BLOK-IV-L3,Los/Meja Batu,130
PR-TI-BLOK-IV-L3,Kantor,1
PR-TI-BLOK-IV-L3,Toilet Umum,2
PR-TI-BLOK-IV-L4,Toilet Umum,1
PR-TI-BLOK-BAGONJONG,Kios,35
PR-TI-BLOK-BAGONJONG,Los/Meja Batu,167
PR-TI-BLOK-BAGONJONG,Musholla / Mesjid,1
PR-TI-BLOK-BAGONJONG,Pos Kesehatan / Klinik,1
PR-TI-BLOK-BAGONJONG,Pos Pemadam Kebakaran,1
PR-TI-BLOK-BAGONJONG,Toilet Umum,1
PR-TII,Toko,966
PR-TII,Los/Meja Batu,652
PR-TII,PKL,108
PR-TII,Musholla / Mesjid,2
PR-TII,Pos Kesehatan / Klinik,1
PR-TII,ATM,1
PR-TII,TPA / Ruangan Ibu Menyusui,3
PR-TII,Kantor,2
PR-TII,Pos Keamanan,2
PR-TII,Toilet Umum,18
PR-TII,Ruang Lainnya,8
PR-TII-FI,Toko,159
PR-TII-FI,PKL,31
PR-TII-FI-LANTAI-1,Toko,105
PR-TII-FI-LANTAI-1,PKL,31
PR-TII-FI-LANTAI-2,Toko,54
PR-TII-FII,Toko,165
PR-TII-FII,PKL,17
PR-TII-FII,Toilet Umum,1
PR-TII-FII-LANTAI-1,Toko,91
PR-TII-FII-LANTAI-1,PKL,17
PR-TII-FII-LANTAI-2,Toko,74
PR-TII-FII-LANTAI-2,Toilet Umum,1
PR-TII-FIII,Toko,163
PR-TII-FIII,PKL,17
PR-TII-FIII-LANTAI-1,Toko,108
PR-TII-FIII-LANTAI-1,PKL,17
PR-TII-FIII-LANTAI-2,Toko,55
PR-TII-FIV,Toko,200
PR-TII-FIV,PKL,31
PR-TII-FIV,ATM,1
